city,city_ascii,state_id,state_name,county_name,lat,lng,"city_ascii, state_id"
Tamarack,Tamarack,MN,Minnesota,Aitkin,46.6529,-93.125,"Tamarack, MN"
Gentry,Gentry,MO,Missouri,Gentry,40.3326,-94.4233,"Gentry, MO"
Camrose Colony,Camrose Colony,MT,Montana,Toole,48.3116,-111.6118,"Camrose Colony, MT"
Allport,Allport,AR,Arkansas,Lonoke,34.5399,-91.7839,"Allport, AR"
Fair Oaks,Fair Oaks,OK,Oklahoma,Rogers,36.1611,-95.691,"Fair Oaks, OK"
Yale,Yale,KS,Kansas,Crawford,37.4901,-94.647,"Yale, KS"
Lake Henry,Lake Henry,MN,Minnesota,Stearns,45.462,-94.7965,"Lake Henry, MN"
Melia,Melia,NE,Nebraska,Sarpy,41.0971,-96.2768,"Melia, NE"
Kilkenny,Kilkenny,MN,Minnesota,Le Sueur,44.3151,-93.5741,"Kilkenny, MN"
Brant Lake,Brant Lake,SD,South Dakota,Lake,43.9308,-96.9436,"Brant Lake, SD"
White Earth,White Earth,ND,North Dakota,Mountrail,48.3799,-102.7718,"White Earth, ND"
Penntown,Penntown,IN,Indiana,Ripley,39.2701,-85.0975,"Penntown, IN"
Kittrell,Kittrell,NC,North Carolina,Vance,36.2218,-78.4414,"Kittrell, NC"
McKinnon,McKinnon,WY,Wyoming,Sweetwater,41.0314,-109.9384,"McKinnon, WY"
Pleasantville,Pleasantville,IN,Indiana,Sullivan,38.967,-87.2503,"Pleasantville, IN"
Amity,Amity,MO,Missouri,DeKalb,39.8682,-94.4352,"Amity, MO"
Blanco,Blanco,OK,Oklahoma,Pittsburg,34.7507,-95.7736,"Blanco, OK"
Clyde,Clyde,NJ,New Jersey,Somerset,40.4874,-74.5132,"Clyde, NJ"
Running Water,Running Water,SD,South Dakota,Bon Homme,42.7822,-97.9816,"Running Water, SD"
Cave Spring,Cave Spring,OK,Oklahoma,Adair,35.7292,-94.7577,"Cave Spring, OK"
Morse Bluff,Morse Bluff,NE,Nebraska,Saunders,41.431,-96.7666,"Morse Bluff, NE"
Jerome,Jerome,AR,Arkansas,Drew,33.3988,-91.4697,"Jerome, AR"
Whitewater,Whitewater,MO,Missouri,Cape Girardeau,37.2368,-89.7978,"Whitewater, MO"
Strandquist,Strandquist,MN,Minnesota,Marshall,48.4894,-96.4479,"Strandquist, MN"
Nimrod,Nimrod,MN,Minnesota,Wadena,46.6375,-94.8805,"Nimrod, MN"
Foresta,Foresta,CA,California,Mariposa,37.6983,-119.7552,"Foresta, CA"
Saint Charles,Saint Charles,SC,South Carolina,Lee,34.0806,-80.2249,"Saint Charles, SC"
Powersville,Powersville,MO,Missouri,Putnam,40.5496,-93.3002,"Powersville, MO"
West Middletown,West Middletown,PA,Pennsylvania,Washington,40.2432,-80.4253,"West Middletown, PA"
Neville,Neville,OH,Ohio,Clermont,38.8123,-84.2115,"Neville, OH"
De Graff,De Graff,MN,Minnesota,Swift,45.26,-95.4683,"De Graff, MN"
Cromwell,Cromwell,IA,Iowa,Union,41.0405,-94.4618,"Cromwell, IA"
Marrowbone,Marrowbone,KY,Kentucky,Cumberland,36.832,-85.5053,"Marrowbone, KY"
Mount Olive,Mount Olive,AR,Arkansas,Izard,36.0038,-92.0914,"Mount Olive, AR"
Knierim,Knierim,IA,Iowa,Calhoun,42.4563,-94.4559,"Knierim, IA"
Santiago,Santiago,WA,Washington,Grays Harbor,47.2975,-124.2327,"Santiago, WA"
Clayton,Clayton,KS,Kansas,Norton,39.7369,-100.1765,"Clayton, KS"
Fidelity,Fidelity,IL,Illinois,Jersey,39.1546,-90.1644,"Fidelity, IL"
Naubinway,Naubinway,MI,Michigan,Mackinac,46.0911,-85.4518,"Naubinway, MI"
Otway,Otway,OH,Ohio,Scioto,38.8648,-83.188,"Otway, OH"
Berwyn,Berwyn,NE,Nebraska,Custer,41.3509,-99.5007,"Berwyn, NE"
Bridger,Bridger,SD,South Dakota,Ziebach,44.5421,-101.9136,"Bridger, SD"
Union Grove,Union Grove,AL,Alabama,Marshall,34.4025,-86.4483,"Union Grove, AL"
Sun Valley,Sun Valley,TX,Texas,Lamar,33.6705,-95.4287,"Sun Valley, TX"
Pena,Pena,TX,Texas,Starr,26.4155,-98.97,"Pena, TX"
Kirk,Kirk,CO,Colorado,Yuma,39.6127,-102.592,"Kirk, CO"
Cubero,Cubero,NM,New Mexico,Cibola,35.0904,-107.5261,"Cubero, NM"
Stockton,Stockton,MD,Maryland,Worcester,38.0659,-75.4134,"Stockton, MD"
Gray,Gray,IA,Iowa,Audubon,41.8417,-94.9859,"Gray, IA"
Comstock,Comstock,MN,Minnesota,Clay,46.6596,-96.7466,"Comstock, MN"
Whiting,Whiting,WY,Wyoming,Platte,42.0089,-104.9711,"Whiting, WY"
Picuris Pueblo,Picuris Pueblo,NM,New Mexico,Taos,36.1995,-105.7133,"Picuris Pueblo, NM"
Marlboro,Marlboro,NJ,New Jersey,Cumberland,39.486,-75.3215,"Marlboro, NJ"
Fort Fetter,Fort Fetter,PA,Pennsylvania,Blair,40.4301,-78.4044,"Fort Fetter, PA"
Solen,Solen,ND,North Dakota,Sioux,46.3873,-100.7958,"Solen, ND"
Point Isabel,Point Isabel,IN,Indiana,Grant,40.4206,-85.8219,"Point Isabel, IN"
Turner,Turner,MI,Michigan,Arenac,44.1422,-83.7875,"Turner, MI"
Cow Creek,Cow Creek,SD,South Dakota,Sully,44.5538,-100.4754,"Cow Creek, SD"
Rover,Rover,AR,Arkansas,Yell,34.9518,-93.409,"Rover, AR"
Springbrook,Springbrook,WI,Wisconsin,Washburn,45.9469,-91.6889,"Springbrook, WI"
Opal,Opal,WY,Wyoming,Lincoln,41.768,-110.3242,"Opal, WY"
Russellville,Russellville,IL,Illinois,Lawrence,38.8189,-87.53,"Russellville, IL"
Radar Base,Radar Base,TX,Texas,Maverick,28.8568,-100.5336,"Radar Base, TX"
Buchanan,Buchanan,TN,Tennessee,Henry,36.434,-88.2027,"Buchanan, TN"
Tracy,Tracy,MT,Montana,Cascade,47.4102,-111.1537,"Tracy, MT"
Evergreen Colony,Evergreen Colony,SD,South Dakota,Faulk,45.1217,-99.0425,"Evergreen Colony, SD"
Zarephath,Zarephath,NJ,New Jersey,Somerset,40.5362,-74.5744,"Zarephath, NJ"
Glenfield,Glenfield,ND,North Dakota,Foster,47.4551,-98.5664,"Glenfield, ND"
Colorado Acres,Colorado Acres,TX,Texas,Webb,27.6449,-99.2143,"Colorado Acres, TX"
Sciota,Sciota,IL,Illinois,McDonough,40.5626,-90.748,"Sciota, IL"
Emelle,Emelle,AL,Alabama,Sumter,32.7287,-88.3165,"Emelle, AL"
Koyukuk,Koyukuk,AK,Alaska,Yukon-Koyukuk,64.9008,-157.6946,"Koyukuk, AK"
Brazos,Brazos,TX,Texas,Palo Pinto,32.6622,-98.1231,"Brazos, TX"
Whipholt,Whipholt,MN,Minnesota,Cass,47.0436,-94.386,"Whipholt, MN"
Rivergrove,Rivergrove,CA,California,Kern,35.4403,-118.9411,"Rivergrove, CA"
Bogota,Bogota,TN,Tennessee,Dyer,36.162,-89.439,"Bogota, TN"
Silver Star,Silver Star,MT,Montana,Madison,45.6875,-112.285,"Silver Star, MT"
Twin Lakes,Twin Lakes,WA,Washington,Ferry,48.2622,-118.3591,"Twin Lakes, WA"
Anvik,Anvik,AK,Alaska,Yukon-Koyukuk,62.6541,-160.214,"Anvik, AK"
Miller's Cove,Miller's Cove,TX,Texas,Titus,33.156,-95.1147,"Miller's Cove, TX"
Georgetown,Georgetown,AR,Arkansas,White,35.1267,-91.4539,"Georgetown, AR"
Masonville,Masonville,IA,Iowa,Delaware,42.4798,-91.5915,"Masonville, IA"
Galestown,Galestown,MD,Maryland,Dorchester,38.5633,-75.7149,"Galestown, MD"
Geyser,Geyser,MT,Montana,Judith Basin,47.2633,-110.4927,"Geyser, MT"
Capulin,Capulin,NM,New Mexico,Union,36.7445,-103.9958,"Capulin, NM"
Chester,Chester,OK,Oklahoma,Major,36.2165,-98.9208,"Chester, OK"
Evansville,Evansville,AR,Arkansas,Washington,35.7924,-94.4911,"Evansville, AR"
Big Creek,Big Creek,WV,West Virginia,Logan,38.0054,-82.0361,"Big Creek, WV"
Peoria,Peoria,CO,Colorado,Arapahoe,39.6649,-104.1456,"Peoria, CO"
West Amana,West Amana,IA,Iowa,Iowa,41.8083,-91.9654,"West Amana, IA"
Vicksburg,Vicksburg,PA,Pennsylvania,Blair,40.3698,-78.4158,"Vicksburg, PA"
Gibbs,Gibbs,MO,Missouri,Adair,40.099,-92.4166,"Gibbs, MO"
Egypt,Egypt,AR,Arkansas,Craighead,35.8677,-90.9459,"Egypt, AR"
Putnam,Putnam,TX,Texas,Callahan,32.3703,-99.1955,"Putnam, TX"
Ohlman,Ohlman,IL,Illinois,Montgomery,39.3433,-89.2186,"Ohlman, IL"
Ten Broeck,Ten Broeck,KY,Kentucky,Jefferson,38.2976,-85.5807,"Ten Broeck, KY"
Sleetmute,Sleetmute,AK,Alaska,Bethel,61.6516,-157.1251,"Sleetmute, AK"
Crozier,Crozier,AZ,Arizona,Mohave,35.4227,-113.6487,"Crozier, AZ"
Hallett,Hallett,OK,Oklahoma,Pawnee,36.2319,-96.5679,"Hallett, OK"
Union Level,Union Level,VA,Virginia,Mecklenburg,36.7071,-78.2319,"Union Level, VA"
Walters,Walters,MN,Minnesota,Faribault,43.6049,-93.6743,"Walters, MN"
Coy,Coy,AR,Arkansas,Lonoke,34.5405,-91.8713,"Coy, AR"
Alix,Alix,AR,Arkansas,Franklin,35.4219,-93.7289,"Alix, AR"
Redwood,Redwood,MS,Mississippi,Warren,32.4734,-90.7969,"Redwood, MS"
Montier,Montier,MO,Missouri,Shannon,36.9817,-91.5749,"Montier, MO"
Wolf Lake,Wolf Lake,MN,Minnesota,Becker,46.8066,-95.3526,"Wolf Lake, MN"
Lehr,Lehr,ND,North Dakota,McIntosh,46.2826,-99.3528,"Lehr, ND"
Symerton,Symerton,IL,Illinois,Will,41.3256,-88.053,"Symerton, IL"
Ali Chukson,Ali Chukson,AZ,Arizona,Pima,31.9115,-111.8017,"Ali Chukson, AZ"
Batesville,Batesville,OH,Ohio,Noble,39.9156,-81.2824,"Batesville, OH"
Kohls Ranch,Kohls Ranch,AZ,Arizona,Gila,34.321,-111.0838,"Kohls Ranch, AZ"
Oljato-Monument Valley,Oljato-Monument Valley,AZ,Arizona,Navajo,36.9867,-110.191,"Oljato-Monument Valley, AZ"
Camp Nelson,Camp Nelson,CA,California,Tulare,36.142,-118.6108,"Camp Nelson, CA"
Holmesville,Holmesville,NE,Nebraska,Gage,40.2009,-96.6584,"Holmesville, NE"
Tightwad,Tightwad,MO,Missouri,Henry,38.3096,-93.5466,"Tightwad, MO"
Essary Springs,Essary Springs,TN,Tennessee,Hardeman,35.0113,-88.8025,"Essary Springs, TN"
Glen Allen,Glen Allen,MO,Missouri,Bollinger,37.3171,-90.0282,"Glen Allen, MO"
Lake View,Lake View,IN,Indiana,Franklin,39.4852,-85.2492,"Lake View, IN"
Caberfae,Caberfae,MI,Michigan,Wexford,44.2492,-85.7256,"Caberfae, MI"
Reubens,Reubens,ID,Idaho,Lewis,46.3229,-116.5429,"Reubens, ID"
Fluvanna,Fluvanna,TX,Texas,Scurry,32.8833,-101.1415,"Fluvanna, TX"
Rome,Rome,IA,Iowa,Henry,40.982,-91.6817,"Rome, IA"
Butte City,Butte City,ID,Idaho,Butte,43.607,-113.2408,"Butte City, ID"
Knights Ferry,Knights Ferry,CA,California,Stanislaus,37.8199,-120.6704,"Knights Ferry, CA"
Tatum,Tatum,SC,South Carolina,Marlboro,34.6438,-79.5867,"Tatum, SC"
Culver,Culver,KS,Kansas,Ottawa,38.9701,-97.7592,"Culver, KS"
Loco Hills,Loco Hills,NM,New Mexico,Eddy,32.8197,-103.9783,"Loco Hills, NM"
Helmville,Helmville,MT,Montana,Powell,46.8614,-112.9629,"Helmville, MT"
Martinsburg,Martinsburg,NE,Nebraska,Dixon,42.5084,-96.8314,"Martinsburg, NE"
Dawson,Dawson,ND,North Dakota,Kidder,46.8679,-99.7536,"Dawson, ND"
Colburn,Colburn,IN,Indiana,Tippecanoe,40.5188,-86.7122,"Colburn, IN"
Cedar Crest,Cedar Crest,PA,Pennsylvania,Mifflin,40.3966,-77.8858,"Cedar Crest, PA"
Belvidere,Belvidere,TN,Tennessee,Franklin,35.1281,-86.1881,"Belvidere, TN"
Sharpsburg,Sharpsburg,IA,Iowa,Taylor,40.8029,-94.6405,"Sharpsburg, IA"
Farwell,Farwell,NE,Nebraska,Howard,41.2156,-98.628,"Farwell, NE"
Candy Kitchen,Candy Kitchen,NM,New Mexico,Cibola,34.912,-108.4929,"Candy Kitchen, NM"
Essex,Essex,MT,Montana,Flathead,48.2823,-113.6095,"Essex, MT"
Olivet,Olivet,KS,Kansas,Osage,38.4813,-95.7519,"Olivet, KS"
Big Horn,Big Horn,WY,Wyoming,Sheridan,44.6791,-106.9971,"Big Horn, WY"
New Trier,New Trier,MN,Minnesota,Dakota,44.6038,-92.9329,"New Trier, MN"
Arrowhead Springs,Arrowhead Springs,WY,Wyoming,Sweetwater,41.5081,-109.1551,"Arrowhead Springs, WY"
Caballo,Caballo,NM,New Mexico,Sierra,32.9806,-107.3075,"Caballo, NM"
Spring Hill,Spring Hill,IN,Indiana,Marion,39.8346,-86.1926,"Spring Hill, IN"
Pilot Point,Pilot Point,AK,Alaska,Lake and Peninsula,57.5585,-157.6798,"Pilot Point, AK"
Jesterville,Jesterville,MD,Maryland,Wicomico,38.2897,-75.8928,"Jesterville, MD"
Slate Springs,Slate Springs,MS,Mississippi,Calhoun,33.7417,-89.3752,"Slate Springs, MS"
Tensed,Tensed,ID,Idaho,Benewah,47.1596,-116.9238,"Tensed, ID"
Climbing Hill,Climbing Hill,IA,Iowa,Woodbury,42.3394,-96.0811,"Climbing Hill, IA"
Pinhook Corner,Pinhook Corner,OK,Oklahoma,Sequoyah,35.5314,-94.8911,"Pinhook Corner, OK"
Chitina,Chitina,AK,Alaska,Copper River,61.5276,-144.2991,"Chitina, AK"
Little City,Little City,OK,Oklahoma,Marshall,34.084,-96.616,"Little City, OK"
Zenda,Zenda,KS,Kansas,Kingman,37.444,-98.2819,"Zenda, KS"
Shiro,Shiro,TX,Texas,Grimes,30.6087,-95.8862,"Shiro, TX"
Horace,Horace,KS,Kansas,Greeley,38.4769,-101.7905,"Horace, KS"
Robertson,Robertson,WY,Wyoming,Uinta,41.1816,-110.4274,"Robertson, WY"
Waumandee,Waumandee,WI,Wisconsin,Buffalo,44.3024,-91.7051,"Waumandee, WI"
Ralston,Ralston,IA,Iowa,Carroll,42.0418,-94.6293,"Ralston, IA"
Alpine,Alpine,AR,Arkansas,Clark,34.2268,-93.3783,"Alpine, AR"
